"phone","churn","account_length","area_code","custserv_calls","day_calls","day_charge","day_mins","eve_calls","eve_charge","eve_mins","intl_calls","intl_charge","intl_mins","intl_plan","night_calls","night_charge","night_mins","vmail_message","vmail_plan"
"382-4657","no",128,"415",1,110,45.07,265.1,99,16.78,197.4,3,2.7,10.0,"no",91,11.01,244.7,25,"yes"
"371-7191","no",107,"415",1,123,27.47,161.6,103,16.62,195.5,3,3.7,13.7,"no",103,11.45,254.4,26,"yes"
"358-1921","no",137,"415",0,114,41.38,243.4,110,10.3,121.2,5,3.29,12.2,"no",104,7.32,162.6,0,"no"
"375-9999","no",84,"408",2,71,50.9,299.4,88,5.26,61.9,7,1.78,6.6,"yes",89,8.86,196.9,0,"no"
"330-6626","no",75,"415",3,113,28.34,166.7,122,12.61,148.3,3,2.73,10.1,"yes",121,8.41,186.9,0,"no"
"391-8027","no",118,"510",0,98,37.98,223.4,101,18.75,220.6,6,1.7,6.3,"yes",118,9.18,203.9,0,"no"
"355-9993","no",121,"510",3,88,37.09,218.2,108,29.62,348.5,7,2.03,7.5,"no",118,9.57,212.6,24,"yes"
"329-9001","no",147,"415",0,79,26.69,157.0,94,8.76,103.1,6,1.92,7.1,"yes",96,9.53,211.8,0,"no"
"335-4719","no",117,"408",1,97,31.37,184.5,80,29.89,351.6,4,2.35,8.7,"no",90,9.71,215.8,0,"no"
"330-8173","no",141,"415",0,84,43.96,258.6,111,18.87,222.0,5,3.02,11.2,"yes",97,14.69,326.4,37,"yes"
"329-6603","yes",65,"415",4,137,21.95,129.1,83,19.42,228.5,6,3.43,12.7,"no",111,9.4,208.8,0,"no"
"344-9403","no",74,"415",0,127,31.91,187.7,148,13.89,163.4,5,2.46,9.1,"no",94,8.82,196.0,0,"no"
"363-1107","no",168,"408",1,96,21.9,128.8,71,8.92,104.9,2,3.02,11.2,"no",128,6.35,141.1,0,"no"
"394-8006","no",95,"510",3,88,26.62,156.6,75,21.05,247.6,5,3.32,12.3,"no",115,8.65,192.3,0,"no"
"366-9238","no",62,"415",4,70,20.52,120.7,76,26.11,307.2,6,3.54,13.1,"no",99,9.14,203.0,0,"no"
"351-7269","yes",161,"415",4,67,56.59,332.9,97,27.01,317.8,9,1.46,5.4,"no",128,7.23,160.6,0,"no"
"350-8884","no",85,"408",1,139,33.39,196.4,90,23.88,280.9,4,3.73,13.8,"no",75,4.02,89.3,27,"yes"
"386-2923","no",93,"510",3,114,32.42,190.7,111,18.55,218.2,3,2.19,8.1,"no",121,5.83,129.6,0,"no"
"356-2992","no",76,"510",1,66,32.25,189.7,65,18.09,212.8,5,2.7,10.0,"no",108,7.46,165.7,33,"yes"
"373-2782","no",73,"415",1,90,38.15,224.4,88,13.56,159.5,2,3.51,13.0,"no",74,8.68,192.8,0,"no"
"396-5800","no",147,"415",0,117,26.37,155.1,93,20.37,239.7,4,2.86,10.6,"no",133,9.4,208.8,0,"no"
"393-7984","yes",77,"408",5,89,10.61,62.4,121,14.44,169.9,6,1.54,5.7,"no",64,9.43,209.6,0,"no"
"358-1958","no",130,"415",0,112,31.11,183.0,99,6.2,72.9,19,2.57,9.5,"no",78,8.18,181.8,0,"no"
"350-2565","no",111,"415",2,103,18.77,110.4,102,11.67,137.3,6,2.08,7.7,"no",105,8.53,189.6,0,"no"
"343-4696","no",132,"510",0,86,13.79,81.1,72,20.84,245.2,2,2.78,10.3,"no",115,10.67,237.0,0,"no"
"331-3698","no",174,"415",3,76,21.13,124.3,112,23.55,277.1,5,4.19,15.5,"no",115,11.28,250.7,0,"no"
"357-3817","no",57,"408",0,115,36.21,213.0,112,16.24,191.1,3,2.57,9.5,"no",115,8.22,182.7,39,"yes"
"418-6412","no",54,"408",3,73,22.83,134.3,100,13.22,155.5,4,3.97,14.7,"no",68,4.59,102.1,0,"no"
"353-2630","no",20,"415",0,109,32.3,190.0,84,21.95,258.2,6,1.7,6.3,"no",102,8.17,181.5,0,"no"
"410-7789","no",49,"510",1,117,20.28,119.3,109,18.28,215.1,1,3.0,11.1,"no",90,8.04,178.7,0,"no"
"416-8428","no",142,"415",2,95,14.42,84.8,63,11.62,136.7,6,3.83,14.2,"no",148,11.27,250.5,0,"no"
"370-3359","no",75,"510",1,105,38.44,226.1,107,17.13,201.5,5,2.78,10.3,"no",98,11.08,246.2,0,"no"
"383-1121","no",172,"408",3,121,36.04,212.0,115,2.65,31.2,10,3.4,12.6,"no",78,13.2,293.3,0,"no"
"360-1596","yes",12,"408",1,118,42.43,249.6,119,21.45,252.4,3,3.19,11.8,"no",90,12.61,280.2,0,"no"
"395-2854","no",57,"408",0,94,30.06,176.8,75,16.58,195.0,4,2.24,8.3,"no",116,9.61,213.5,25,"yes"
"362-1407","no",72,"415",3,80,37.4,220.0,102,18.47,217.3,6,3.97,14.7,"no",71,6.88,152.8,37,"yes"
"341-9764","no",36,"408",0,128,24.87,146.3,80,13.81,162.5,6,3.92,14.5,"no",109,5.82,129.3,30,"yes"
"353-3305","no",78,"415",1,64,22.24,130.8,116,19.01,223.7,5,2.7,10.0,"no",108,10.25,227.8,0,"no"
"402-1381","no",136,"415",3,106,34.66,203.9,99,15.95,187.6,6,2.84,10.5,"yes",107,4.58,101.7,33,"yes"
"332-9891","no",149,"408",1,94,23.87,140.4,92,23.1,271.8,9,3.0,11.1,"no",108,8.47,188.3,0,"no"
"372-9976","no",98,"408",3,102,21.47,126.3,85,14.18,166.8,2,2.54,9.4,"no",135,8.45,187.8,0,"no"
"383-6029","yes",135,"408",0,85,29.43,173.1,107,17.33,203.9,15,3.94,14.6,"yes",78,5.5,122.2,41,"yes"
"353-7289","no",34,"510",2,82,21.22,124.8,98,23.99,282.2,4,2.7,10.0,"no",78,14.02,311.5,0,"no"
"390-7274","no",160,"415",3,77,14.59,85.8,110,14.05,165.3,4,2.48,9.2,"no",92,8.03,178.5,0,"no"
"352-1237","no",64,"510",1,67,26.18,154.0,118,19.19,225.8,3,0.95,3.5,"no",86,11.94,265.3,0,"no"
"353-3061","no",59,"408",2,97,20.55,120.9,92,18.11,213.0,5,2.3,8.5,"no",116,7.34,163.1,28,"yes"
"363-5450","no",65,"415",3,120,35.92,211.3,122,13.82,162.6,5,3.56,13.2,"no",118,6.06,134.7,0,"no"
"364-1995","no",142,"408",2,133,31.79,187.0,74,11.44,134.6,5,2.0,7.4,"no",127,10.9,242.2,0,"no"
"398-1294","yes",119,"415",5,114,27.05,159.1,117,19.66,231.3,3,2.38,8.8,"no",91,6.44,143.2,0,"no"
"405-7146","no",97,"415",1,135,22.64,133.2,58,18.46,217.2,3,2.97,11.0,"no",79,3.18,70.6,24,"yes"
"413-4957","no",52,"408",3,108,32.62,191.9,96,22.93,269.8,5,2.11,7.8,"no",87,10.66,236.8,0,"no"
"420-5645","no",60,"408",1,57,37.5,220.6,115,17.94,211.1,3,1.84,6.8,"no",129,11.21,249.0,0,"no"
"349-4396","no",10,"408",2,112,31.64,186.1,66,16.17,190.2,6,3.08,11.4,"no",57,12.73,282.8,0,"no"
"404-3211","no",96,"415",2,117,27.23,160.2,67,22.74,267.5,5,2.51,9.3,"no",68,10.28,228.5,0,"no"
"353-3759","yes",87,"415",5,83,25.67,151.0,116,18.67,219.7,3,2.62,9.7,"no",127,9.18,203.9,0,"no"
"363-5947","no",81,"408",1,67,29.84,175.5,85,21.19,249.3,3,2.75,10.2,"no",98,12.16,270.2,0,"no"
"340-5121","no",141,"415",1,98,21.57,126.9,62,15.3,180.0,2,2.16,8.0,"no",128,6.34,140.8,0,"no"
